Epoch,Phase,Loss,Accuracy,Precision,Recall,AUC,MSE,Confusion Matrix
1,train,1.4061733813058062,0.47303543913713403,0.46596923788998124,0.4720706569664903,0.8348302898986174,8.768875192604007,"[[19, 13, 2, 2, 0, 9, 14, 21], [7, 27, 4, 0, 0, 18, 8, 16], [1, 3, 55, 13, 8, 3, 0, 1], [1, 0, 17, 56, 4, 0, 2, 0], [1, 2, 4, 6, 67, 1, 0, 0], [10, 18, 7, 2, 0, 26, 6, 11], [13, 10, 3, 2, 5, 7, 27, 13], [11, 12, 2, 1, 1, 18, 9, 30]]"
1,validation,1.6468126049055856,0.5325443786982249,0.5971828211189913,0.5482142857142858,0.8118107382662029,5.325443786982248,"[[13, 1, 0, 0, 0, 1, 5, 0], [4, 6, 0, 0, 0, 2, 8, 0], [0, 0, 7, 17, 0, 0, 0, 0], [0, 0, 1, 19, 0, 0, 0, 0], [0, 0, 1, 0, 20, 0, 0, 0], [4, 1, 0, 0, 0, 8, 6, 1], [2, 0, 0, 0, 0, 2, 16, 0], [4, 0, 0, 0, 0, 7, 12, 1]]"
2,train,0.9015951742560177,0.6764252696456087,0.6820040405135795,0.676452270723104,0.925750818447999,7.047765793528505,"[[38, 4, 0, 0, 0, 5, 19, 14], [5, 45, 0, 0, 0, 12, 6, 12], [0, 0, 67, 15, 0, 1, 0, 1], [1, 0, 2, 76, 1, 0, 0, 0], [0, 0, 2, 0, 79, 0, 0, 0], [6, 8, 0, 0, 0, 46, 11, 9], [17, 6, 0, 0, 0, 7, 48, 2], [18, 5, 0, 0, 0, 16, 5, 40]]"
2,validation,1.3633268880189435,0.5976331360946746,0.6397931929181929,0.6114583333333333,0.901193902838849,4.615384615384615,"[[15, 2, 0, 0, 0, 1, 2, 0], [6, 9, 0, 0, 0, 1, 3, 1], [0, 0, 7, 17, 0, 0, 0, 0], [0, 0, 1, 19, 0, 0, 0, 0], [0, 0, 0, 0, 21, 0, 0, 0], [3, 6, 0, 0, 0, 10, 0, 1], [2, 1, 0, 0, 0, 2, 14, 1], [2, 3, 0, 0, 0, 12, 1, 6]]"
3,train,0.7249499328882191,0.7473035439137135,0.7494071556001625,0.7475088183421517,0.952718806798108,5.278890600924499,"[[52, 1, 0, 0, 0, 4, 13, 10], [4, 55, 0, 0, 0, 7, 5, 9], [0, 0, 69, 14, 0, 0, 1, 0], [0, 0, 6, 73, 1, 0, 0, 0], [0, 0, 1, 1, 79, 0, 0, 0], [4, 8, 0, 0, 0, 57, 5, 6], [16, 4, 0, 0, 0, 2, 51, 7], [11, 6, 0, 0, 0, 15, 3, 49]]"
3,validation,1.310930118670125,0.5976331360946746,0.6454455266955268,0.6127976190476191,0.9056438276247781,4.940828402366864,"[[17, 1, 0, 0, 0, 0, 2, 0], [7, 9, 0, 0, 0, 1, 2, 1], [0, 0, 7, 17, 0, 0, 0, 0], [0, 0, 1, 19, 0, 0, 0, 0], [0, 0, 1, 0, 20, 0, 0, 0], [3, 5, 0, 0, 0, 12, 0, 0], [3, 1, 0, 0, 0, 3, 12, 1], [3, 4, 0, 0, 0, 12, 0, 5]]"
4,train,0.6335291993820061,0.7842835130970724,0.7856161517648821,0.784375,0.9634438609556559,4.667180277349769,"[[52, 2, 0, 0, 2, 3, 13, 8], [4, 64, 0, 0, 0, 4, 1, 7], [0, 0, 70, 14, 0, 0, 0, 0], [0, 0, 3, 76, 0, 0, 0, 1], [0, 0, 0, 0, 81, 0, 0, 0], [3, 10, 0, 0, 2, 57, 4, 4], [18, 1, 0, 1, 0, 3, 53, 4], [10, 6, 0, 0, 0, 6, 6, 56]]"
4,validation,1.6543408296341022,0.5739644970414202,0.625503673044241,0.5885416666666667,0.8978692962662964,4.514792899408284,"[[16, 1, 0, 0, 0, 0, 3, 0], [6, 8, 0, 0, 0, 2, 4, 0], [0, 0, 7, 17, 0, 0, 0, 0], [0, 0, 0, 20, 0, 0, 0, 0], [0, 0, 0, 0, 21, 0, 0, 0], [2, 4, 0, 0, 0, 11, 0, 3], [3, 1, 0, 0, 0, 5, 10, 1], [2, 2, 0, 0, 0, 16, 0, 4]]"
5,train,0.5097374991615674,0.810477657935285,0.8130200154182712,0.8102678571428571,0.9763534591519859,4.044684129429892,"[[55, 2, 0, 0, 0, 1, 15, 7], [5, 63, 0, 0, 0, 3, 2, 7], [0, 0, 69, 15, 0, 0, 0, 0], [0, 1, 5, 73, 0, 0, 0, 1], [0, 0, 0, 0, 81, 0, 0, 0], [2, 5, 0, 0, 0, 66, 4, 3], [18, 1, 0, 0, 0, 4, 53, 4], [6, 5, 0, 0, 0, 4, 3, 66]]"
5,validation,1.6409858944852602,0.5384615384615384,0.6472834967320262,0.5541666666666667,0.9018095975082929,4.905325443786983,"[[16, 1, 0, 0, 0, 1, 2, 0], [8, 5, 0, 0, 0, 5, 2, 0], [0, 0, 7, 17, 0, 0, 0, 0], [0, 0, 1, 19, 0, 0, 0, 0], [0, 0, 0, 0, 21, 0, 0, 0], [3, 4, 0, 0, 0, 12, 1, 0], [4, 0, 0, 0, 0, 6, 10, 0], [3, 2, 0, 0, 0, 16, 2, 1]]"
6,train,0.4844981215905702,0.8305084745762712,0.8349737478413394,0.830897266313933,0.9780077202654334,3.4745762711864407,"[[55, 0, 0, 0, 0, 5, 11, 9], [3, 70, 0, 0, 0, 5, 0, 2], [0, 0, 67, 17, 0, 0, 0, 0], [0, 0, 2, 77, 0, 0, 0, 1], [0, 0, 0, 1, 80, 0, 0, 0], [2, 2, 0, 0, 0, 67, 4, 5], [11, 1, 0, 0, 0, 3, 59, 6], [9, 3, 0, 0, 0, 3, 5, 64]]"
6,validation,1.4754196804401896,0.5621301775147929,0.5898464280817222,0.575,0.8901504522487078,5.5325443786982245,"[[16, 1, 0, 0, 0, 0, 3, 0], [4, 9, 0, 0, 0, 2, 4, 1], [0, 0, 8, 16, 0, 0, 0, 0], [0, 0, 5, 14, 1, 0, 0, 0], [0, 0, 0, 0, 21, 0, 0, 0], [3, 4, 0, 0, 0, 13, 0, 0], [4, 0, 0, 0, 0, 5, 10, 1], [3, 4, 0, 0, 0, 13, 0, 4]]"
7,train,0.3991934725460819,0.8520801232665639,0.854226662336518,0.8523065476190477,0.9845751274822494,3.1879815100154083,"[[60, 1, 0, 0, 0, 2, 11, 6], [2, 70, 0, 0, 0, 4, 2, 2], [0, 0, 69, 15, 0, 0, 0, 0], [0, 0, 3, 77, 0, 0, 0, 0], [0, 0, 0, 0, 81, 0, 0, 0], [2, 5, 0, 0, 0, 69, 2, 2], [17, 0, 0, 0, 0, 2, 59, 2], [4, 4, 0, 0, 0, 6, 2, 68]]"
7,validation,1.8146936103437075,0.5029585798816568,0.5493653711484594,0.5125,0.8800131865694669,6.680473372781065,"[[11, 1, 0, 0, 0, 1, 6, 1], [7, 7, 0, 0, 0, 2, 4, 0], [0, 0, 7, 17, 0, 0, 0, 0], [0, 0, 3, 17, 0, 0, 0, 0], [0, 0, 0, 0, 21, 0, 0, 0], [3, 5, 0, 0, 0, 11, 0, 1], [6, 1, 0, 0, 0, 7, 6, 0], [3, 2, 0, 0, 0, 13, 1, 5]]"
8,train,0.3808769462156599,0.8505392912172574,0.8537728384684763,0.8509672619047619,0.986519864776517,3.4298921417565484,"[[55, 1, 0, 0, 0, 1, 15, 8], [1, 72, 0, 0, 0, 2, 0, 5], [0, 0, 64, 19, 0, 1, 0, 0], [0, 0, 3, 77, 0, 0, 0, 0], [0, 0, 0, 0, 81, 0, 0, 0], [4, 3, 0, 0, 0, 69, 2, 2], [12, 1, 0, 0, 0, 1, 64, 2], [5, 4, 0, 0, 0, 4, 1, 70]]"
8,validation,1.6294540839597649,0.5857988165680473,0.6333143208143208,0.6010416666666667,0.8976260558898403,5.680473372781065,"[[15, 2, 0, 0, 0, 0, 2, 1], [8, 10, 0, 0, 0, 0, 2, 0], [0, 0, 7, 17, 0, 0, 0, 0], [0, 0, 0, 20, 0, 0, 0, 0], [0, 0, 0, 0, 21, 0, 0, 0], [3, 4, 0, 0, 0, 10, 1, 2], [6, 1, 0, 0, 0, 0, 12, 1], [3, 5, 0, 0, 0, 11, 1, 4]]"
9,train,0.32228082109340256,0.8952234206471494,0.8989610151415502,0.8955550044091711,0.9889708563663269,2.083204930662558,"[[69, 1, 0, 0, 0, 1, 7, 2], [3, 72, 0, 0, 0, 2, 0, 3], [0, 0, 68, 15, 0, 1, 0, 0], [0, 0, 2, 78, 0, 0, 0, 0], [0, 0, 1, 0, 80, 0, 0, 0], [1, 1, 0, 0, 0, 76, 0, 2], [14, 1, 0, 0, 0, 1, 62, 2], [3, 2, 0, 0, 0, 0, 3, 76]]"
9,validation,1.895116832834729,0.5443786982248521,0.5661210317460317,0.5552083333333333,0.875276628673918,6.8579881656804735,"[[10, 2, 0, 0, 0, 0, 3, 5], [4, 10, 0, 0, 0, 1, 3, 2], [0, 0, 7, 17, 0, 0, 0, 0], [0, 0, 1, 19, 0, 0, 0, 0], [0, 0, 0, 0, 21, 0, 0, 0], [1, 7, 0, 0, 0, 6, 3, 3], [6, 1, 0, 0, 0, 0, 13, 0], [0, 5, 0, 0, 0, 11, 2, 6]]"
10,train,0.3621555860018005,0.8782742681047766,0.883634976181259,0.8787202380952381,0.9858460096958904,3.100154083204931,"[[63, 0, 0, 0, 0, 2, 7, 8], [2, 76, 0, 0, 0, 1, 0, 1], [0, 0, 69, 15, 0, 0, 0, 0], [0, 0, 3, 77, 0, 0, 0, 0], [0, 0, 0, 0, 81, 0, 0, 0], [0, 0, 0, 0, 0, 73, 2, 5], [17, 1, 0, 0, 0, 0, 61, 1], [9, 4, 0, 0, 0, 0, 1, 70]]"
